Training Epoch: 1 [11136/45388]	Loss: 3.0898	LR: 0.001225
Training Epoch: 1 [11264/45388]	Loss: 3.0226	LR: 0.001239
Training Epoch: 1 [11392/45388]	Loss: 3.0253	LR: 0.001254
Training Epoch: 1 [11520/45388]	Loss: 3.0489	LR: 0.001268
Training Epoch: 1 [11648/45388]	Loss: 3.0210	LR: 0.001282
Training Epoch: 1 [11776/45388]	Loss: 3.0791	LR: 0.001296
Training Epoch: 1 [11904/45388]	Loss: 3.0374	LR: 0.001310
Training Epoch: 1 [12032/45388]	Loss: 3.0690	LR: 0.001324
Training Epoch: 1 [12160/45388]	Loss: 3.0206	LR: 0.001338
Training Epoch: 1 [12288/45388]	Loss: 3.0527	LR: 0.001352
Training Epoch: 1 [12416/45388]	Loss: 3.0444	LR: 0.001366
Training Epoch: 1 [12544/45388]	Loss: 3.0807	LR: 0.001380
Training Epoch: 1 [12672/45388]	Loss: 3.0401	LR: 0.001394
Training Epoch: 1 [12800/45388]	Loss: 3.0703	LR: 0.001408
Training Epoch: 1 [12928/45388]	Loss: 3.0134	LR: 0.001423
Training Epoch: 1 [13056/45388]	Loss: 3.0151	LR: 0.001437
Training Epoch: 1 [13184/45388]	Loss: 3.0088	LR: 0.001451
Training Epoch: 1 [13312/45388]	Loss: 3.0337	LR: 0.001465
Training Epoch: 1 [13440/45388]	Loss: 3.0702	LR: 0.001479
Training Epoch: 1 [13568/45388]	Loss: 3.0142	LR: 0.001493
Training Epoch: 1 [13696/45388]	Loss: 3.0451	LR: 0.001507
Training Epoch: 1 [13824/45388]	Loss: 3.0449	LR: 0.001521
Training Epoch: 1 [13952/45388]	Loss: 2.9724	LR: 0.001535
Training Epoch: 1 [14080/45388]	Loss: 3.0392	LR: 0.001549
Training Epoch: 1 [14208/45388]	Loss: 3.0004	LR: 0.001563
Training Epoch: 1 [14336/45388]	Loss: 3.0014	LR: 0.001577
Training Epoch: 1 [14464/45388]	Loss: 2.9997	LR: 0.001592
Training Epoch: 1 [14592/45388]	Loss: 2.9994	LR: 0.001606
Training Epoch: 1 [14720/45388]	Loss: 3.0270	LR: 0.001620
Training Epoch: 1 [14848/45388]	Loss: 3.0008	LR: 0.001634
Training Epoch: 1 [14976/45388]	Loss: 2.9645	LR: 0.001648
Training Epoch: 1 [15104/45388]	Loss: 3.0092	LR: 0.001662
Training Epoch: 1 [15232/45388]	Loss: 3.0096	LR: 0.001676
Training Epoch: 1 [15360/45388]	Loss: 3.0008	LR: 0.001690
Training Epoch: 1 [15488/45388]	Loss: 2.9797	LR: 0.001704
Training Epoch: 1 [15616/45388]	Loss: 2.9740	LR: 0.001718
Training Epoch: 1 [15744/45388]	Loss: 2.9798	LR: 0.001732
Training Epoch: 1 [15872/45388]	Loss: 2.9718	LR: 0.001746
Training Epoch: 1 [16000/45388]	Loss: 2.9551	LR: 0.001761
Training Epoch: 1 [16128/45388]	Loss: 2.9568	LR: 0.001775
Training Epoch: 1 [16256/45388]	Loss: 2.9373	LR: 0.001789
Training Epoch: 1 [16384/45388]	Loss: 2.9585	LR: 0.001803
Training Epoch: 1 [16512/45388]	Loss: 2.9931	LR: 0.001817
Training Epoch: 1 [16640/45388]	Loss: 2.9965	LR: 0.001831
Training Epoch: 1 [16768/45388]	Loss: 2.9437	LR: 0.001845
Training Epoch: 1 [16896/45388]	Loss: 2.9502	LR: 0.001859
Training Epoch: 1 [17024/45388]	Loss: 2.9763	LR: 0.001873
Training Epoch: 1 [17152/45388]	Loss: 2.9701	LR: 0.001887
Training Epoch: 1 [17280/45388]	Loss: 2.9820	LR: 0.001901
Training Epoch: 1 [17408/45388]	Loss: 2.9462	LR: 0.001915
Training Epoch: 1 [17536/45388]	Loss: 2.9397	LR: 0.001930
Training Epoch: 1 [17664/45388]	Loss: 2.9405	LR: 0.001944
Training Epoch: 1 [17792/45388]	Loss: 2.9332	LR: 0.001958
Training Epoch: 1 [17920/45388]	Loss: 2.9397	LR: 0.001972
Training Epoch: 1 [18048/45388]	Loss: 2.9889	LR: 0.001986
Training Epoch: 1 [18176/45388]	Loss: 2.9409	LR: 0.002000
Training Epoch: 1 [18304/45388]	Loss: 2.9572	LR: 0.002014
Training Epoch: 1 [18432/45388]	Loss: 2.9941	LR: 0.002028
Training Epoch: 1 [18560/45388]	Loss: 2.9430	LR: 0.002042
Training Epoch: 1 [18688/45388]	Loss: 2.9451	LR: 0.002056
Training Epoch: 1 [18816/45388]	Loss: 2.8945	LR: 0.002070
Training Epoch: 1 [18944/45388]	Loss: 2.8815	LR: 0.002085
Training Epoch: 1 [19072/45388]	Loss: 2.9606	LR: 0.002099
Training Epoch: 1 [19200/45388]	Loss: 2.9503	LR: 0.002113
Training Epoch: 1 [19328/45388]	Loss: 2.9285	LR: 0.002127
Training Epoch: 1 [19456/45388]	Loss: 2.8743	LR: 0.002141
Training Epoch: 1 [19584/45388]	Loss: 2.9292	LR: 0.002155
Training Epoch: 1 [19712/45388]	Loss: 2.9170	LR: 0.002169
Training Epoch: 1 [19840/45388]	Loss: 2.8491	LR: 0.002183
Training Epoch: 1 [19968/45388]	Loss: 2.8382	LR: 0.002197
Training Epoch: 1 [20096/45388]	Loss: 2.9069	LR: 0.002211
Training Epoch: 1 [20224/45388]	Loss: 2.9287	LR: 0.002225
Training Epoch: 1 [20352/45388]	Loss: 2.8949	LR: 0.002239
Training Epoch: 1 [20480/45388]	Loss: 2.8954	LR: 0.002254
Training Epoch: 1 [20608/45388]	Loss: 2.9406	LR: 0.002268
Training Epoch: 1 [20736/45388]	Loss: 2.8826	LR: 0.002282
Training Epoch: 1 [20864/45388]	Loss: 2.9178	LR: 0.002296
Training Epoch: 1 [20992/45388]	Loss: 2.8912	LR: 0.002310
Training Epoch: 1 [21120/45388]	Loss: 2.8550	LR: 0.002324
Training Epoch: 1 [21248/45388]	Loss: 2.8655	LR: 0.002338
Training Epoch: 1 [21376/45388]	Loss: 2.8685	LR: 0.002352
Training Epoch: 1 [21504/45388]	Loss: 2.8601	LR: 0.002366
Training Epoch: 1 [21632/45388]	Loss: 2.8954	LR: 0.002380
Training Epoch: 1 [21760/45388]	Loss: 2.8532	LR: 0.002394
Training Epoch: 1 [21888/45388]	Loss: 2.8153	LR: 0.002408
Training Epoch: 1 [22016/45388]	Loss: 2.7929	LR: 0.002423
Training Epoch: 1 [22144/45388]	Loss: 2.8511	LR: 0.002437
Training Epoch: 1 [22272/45388]	Loss: 2.8345	LR: 0.002451
Training Epoch: 1 [22400/45388]	Loss: 2.8408	LR: 0.002465
Training Epoch: 1 [22528/45388]	Loss: 2.8132	LR: 0.002479
Training Epoch: 1 [22656/45388]	Loss: 2.8021	LR: 0.002493
Training Epoch: 1 [22784/45388]	Loss: 2.8240	LR: 0.002507
Training Epoch: 1 [22912/45388]	Loss: 2.8221	LR: 0.002521
Training Epoch: 1 [23040/45388]	Loss: 2.7988	LR: 0.002535
Training Epoch: 1 [23168/45388]	Loss: 2.7846	LR: 0.002549
Training Epoch: 1 [23296/45388]	Loss: 2.8325	LR: 0.002563
Training Epoch: 1 [23424/45388]	Loss: 2.8101	LR: 0.002577
Training Epoch: 1 [23552/45388]	Loss: 2.7908	LR: 0.002592
Training Epoch: 1 [23680/45388]	Loss: 2.7658	LR: 0.002606
Training Epoch: 1 [23808/45388]	Loss: 2.7581	LR: 0.002620
Training Epoch: 1 [23936/45388]	Loss: 2.7835	LR: 0.002634
Training Epoch: 1 [24064/45388]	Loss: 2.7863	LR: 0.002648
Training Epoch: 1 [24192/45388]	Loss: 2.7765	LR: 0.002662
Training Epoch: 1 [24320/45388]	Loss: 2.7089	LR: 0.002676
Training Epoch: 1 [24448/45388]	Loss: 2.7473	LR: 0.002690
Training Epoch: 1 [24576/45388]	Loss: 2.6287	LR: 0.002704
Training Epoch: 1 [24704/45388]	Loss: 2.7162	LR: 0.002718
Training Epoch: 1 [24832/45388]	Loss: 2.7037	LR: 0.002732
Training Epoch: 1 [24960/45388]	Loss: 2.7281	LR: 0.002746
Training Epoch: 1 [25088/45388]	Loss: 2.6777	LR: 0.002761
Training Epoch: 1 [25216/45388]	Loss: 2.7170	LR: 0.002775
Training Epoch: 1 [25344/45388]	Loss: 2.6956	LR: 0.002789
Training Epoch: 1 [25472/45388]	Loss: 2.6910	LR: 0.002803
Training Epoch: 1 [25600/45388]	Loss: 2.6025	LR: 0.002817
