Training Epoch: 1 [11136/45388]	Loss: 3.0522	LR: 0.001225
Training Epoch: 1 [11264/45388]	Loss: 3.0891	LR: 0.001239
Training Epoch: 1 [11392/45388]	Loss: 3.0514	LR: 0.001254
Training Epoch: 1 [11520/45388]	Loss: 3.0235	LR: 0.001268
Training Epoch: 1 [11648/45388]	Loss: 3.0840	LR: 0.001282
Training Epoch: 1 [11776/45388]	Loss: 3.0838	LR: 0.001296
Training Epoch: 1 [11904/45388]	Loss: 3.0714	LR: 0.001310
Training Epoch: 1 [12032/45388]	Loss: 3.0552	LR: 0.001324
Training Epoch: 1 [12160/45388]	Loss: 3.0523	LR: 0.001338
Training Epoch: 1 [12288/45388]	Loss: 3.0747	LR: 0.001352
Training Epoch: 1 [12416/45388]	Loss: 3.0338	LR: 0.001366
Training Epoch: 1 [12544/45388]	Loss: 3.0834	LR: 0.001380
Training Epoch: 1 [12672/45388]	Loss: 3.0414	LR: 0.001394
Training Epoch: 1 [12800/45388]	Loss: 3.0695	LR: 0.001408
Training Epoch: 1 [12928/45388]	Loss: 3.1044	LR: 0.001423
Training Epoch: 1 [13056/45388]	Loss: 3.0788	LR: 0.001437
Training Epoch: 1 [13184/45388]	Loss: 3.0483	LR: 0.001451
Training Epoch: 1 [13312/45388]	Loss: 3.0620	LR: 0.001465
Training Epoch: 1 [13440/45388]	Loss: 3.1071	LR: 0.001479
Training Epoch: 1 [13568/45388]	Loss: 3.0565	LR: 0.001493
Training Epoch: 1 [13696/45388]	Loss: 3.0769	LR: 0.001507
Training Epoch: 1 [13824/45388]	Loss: 3.0636	LR: 0.001521
Training Epoch: 1 [13952/45388]	Loss: 3.0595	LR: 0.001535
Training Epoch: 1 [14080/45388]	Loss: 3.1257	LR: 0.001549
Training Epoch: 1 [14208/45388]	Loss: 3.0601	LR: 0.001563
Training Epoch: 1 [14336/45388]	Loss: 3.0473	LR: 0.001577
Training Epoch: 1 [14464/45388]	Loss: 3.0800	LR: 0.001592
Training Epoch: 1 [14592/45388]	Loss: 3.0797	LR: 0.001606
Training Epoch: 1 [14720/45388]	Loss: 3.0302	LR: 0.001620
Training Epoch: 1 [14848/45388]	Loss: 3.0117	LR: 0.001634
Training Epoch: 1 [14976/45388]	Loss: 3.0721	LR: 0.001648
Training Epoch: 1 [15104/45388]	Loss: 3.0467	LR: 0.001662
Training Epoch: 1 [15232/45388]	Loss: 3.0344	LR: 0.001676
Training Epoch: 1 [15360/45388]	Loss: 3.0228	LR: 0.001690
Training Epoch: 1 [15488/45388]	Loss: 3.0463	LR: 0.001704
Training Epoch: 1 [15616/45388]	Loss: 3.0377	LR: 0.001718
Training Epoch: 1 [15744/45388]	Loss: 3.0125	LR: 0.001732
Training Epoch: 1 [15872/45388]	Loss: 3.0497	LR: 0.001746
Training Epoch: 1 [16000/45388]	Loss: 3.0298	LR: 0.001761
Training Epoch: 1 [16128/45388]	Loss: 3.0330	LR: 0.001775
Training Epoch: 1 [16256/45388]	Loss: 3.0275	LR: 0.001789
Training Epoch: 1 [16384/45388]	Loss: 3.0223	LR: 0.001803
Training Epoch: 1 [16512/45388]	Loss: 3.0406	LR: 0.001817
Training Epoch: 1 [16640/45388]	Loss: 3.0417	LR: 0.001831
Training Epoch: 1 [16768/45388]	Loss: 3.0343	LR: 0.001845
Training Epoch: 1 [16896/45388]	Loss: 3.0649	LR: 0.001859
Training Epoch: 1 [17024/45388]	Loss: 3.0319	LR: 0.001873
Training Epoch: 1 [17152/45388]	Loss: 3.0119	LR: 0.001887
Training Epoch: 1 [17280/45388]	Loss: 3.0184	LR: 0.001901
Training Epoch: 1 [17408/45388]	Loss: 3.0465	LR: 0.001915
Training Epoch: 1 [17536/45388]	Loss: 3.0273	LR: 0.001930
Training Epoch: 1 [17664/45388]	Loss: 3.0257	LR: 0.001944
Training Epoch: 1 [17792/45388]	Loss: 2.9812	LR: 0.001958
Training Epoch: 1 [17920/45388]	Loss: 3.0166	LR: 0.001972
Training Epoch: 1 [18048/45388]	Loss: 3.0466	LR: 0.001986
Training Epoch: 1 [18176/45388]	Loss: 3.0381	LR: 0.002000
Training Epoch: 1 [18304/45388]	Loss: 3.0372	LR: 0.002014
Training Epoch: 1 [18432/45388]	Loss: 3.0349	LR: 0.002028
Training Epoch: 1 [18560/45388]	Loss: 2.9997	LR: 0.002042
Training Epoch: 1 [18688/45388]	Loss: 3.0248	LR: 0.002056
Training Epoch: 1 [18816/45388]	Loss: 2.9832	LR: 0.002070
Training Epoch: 1 [18944/45388]	Loss: 2.9584	LR: 0.002085
Training Epoch: 1 [19072/45388]	Loss: 3.0148	LR: 0.002099
Training Epoch: 1 [19200/45388]	Loss: 3.0390	LR: 0.002113
Training Epoch: 1 [19328/45388]	Loss: 2.9758	LR: 0.002127
Training Epoch: 1 [19456/45388]	Loss: 3.0206	LR: 0.002141
